"Exporter.ISO3","Importer.ISO3","Exporter.M49","Importer.M49","Year","Trade.Value.US","Weight"
"ABW","ARE","Caribbean","Western Asia",2020,2751.804,"distant"
"ABW","ARE","Caribbean","Western Asia",2021,2589.244,"distant"
"ABW","BEL","Caribbean","Western Europe",2020,87.355,"distant"
"ABW","BHS","Caribbean","Caribbean",2020,70,"distant"
"ABW","BRB","Caribbean","Caribbean",2020,28.5,"distant"
"ABW","BRN","Caribbean","South-eastern Asia",2020,767.31,"distant"
"ABW","CAN","Caribbean","Northern America",2019,32625.291,"distant"
"ABW","CAN","Caribbean","Northern America",2020,5688.391,"distant"
"ABW","CAN","Caribbean","Northern America",2021,669.125,"distant"
"ABW","COL","Caribbean","South America",2019,379.33,"distant"
"ABW","COL","Caribbean","South America",2020,484.357,"distant"
"ABW","COL","Caribbean","South America",2021,2801.117,"distant"
"ABW","CRI","Caribbean","Central America",2019,99.84,"distant"
"ABW","CUW","Caribbean","Caribbean",2019,312397.755,"adjacent"
"ABW","CUW","Caribbean","Caribbean",2021,189463.684,"adjacent"
"ABW","CUW","Caribbean","Caribbean",2020,26192.178,"adjacent"
"ABW","DNK","Caribbean","Northern Europe",2021,0.954,"distant"
"ABW","DOM","Caribbean","Caribbean",2020,245.24,"distant"
"ABW","FRA","Caribbean","Western Europe",2021,470.731,"distant"
"ABW","IDN","Caribbean","South-eastern Asia",2019,3360,"distant"
"ABW","IRL","Caribbean","Northern Europe",2021,299.233,"distant"
"ABW","JOR","Caribbean","Western Asia",2021,6159.31,"distant"
"ABW","KWT","Caribbean","Western Asia",2020,671661,"distant"
"ABW","KWT","Caribbean","Western Asia",2021,1898393,"distant"
"ABW","NLD","Caribbean","Western Europe",2019,31600.558,"distant"
"ABW","NLD","Caribbean","Western Europe",2020,28811.894,"distant"
"ABW","NLD","Caribbean","Western Europe",2021,73460.001,"distant"
"ABW","PAN","Caribbean","Central America",2019,124398,"distant"
"ABW","PAN","Caribbean","Central America",2020,106761,"distant"
"ABW","SGP","Caribbean","South-eastern Asia",2021,1524.396,"distant"
"ABW","SUR","Caribbean","South America",2019,23830.5,"distant"
"ABW","SUR","Caribbean","South America",2020,33285.323,"distant"
"ABW","SUR","Caribbean","South America",2021,1237.84,"distant"
"ABW","SYC","Caribbean","Eastern Africa",2020,321.389,"distant"
"ABW","TTO","Caribbean","Caribbean",2021,26.485,"distant"
"ABW","USA","Caribbean","Northern America",2019,3430124,"distant"
"ABW","USA","Caribbean","Northern America",2020,1990967,"distant"
"ABW","USA","Caribbean","Northern America",2021,2330458,"distant"
"ABW","VEN","Caribbean","South America",2019,195.531,"adjacent"
"ABW","VEN","Caribbean","South America",2021,45.81,"adjacent"
"AFG","AGO","Southern Asia","Middle Africa",2020,198.378,"distant"
"AFG","ARE","Southern Asia","Western Asia",2019,135.406,"distant"
"AFG","ARE","Southern Asia","Western Asia",2020,673.753,"distant"
"AFG","ARE","Southern Asia","Western Asia",2021,108.918,"distant"
"AFG","AUT","Southern Asia","Western Europe",2021,419693.034,"distant"
"AFG","BEL","Southern Asia","Western Europe",2021,127.5,"distant"
"AFG","BRA","Southern Asia","South America",2020,29488,"distant"
"AFG","BRN","Southern Asia","South-eastern Asia",2020,8467.36,"distant"
"AFG","BWA","Southern Asia","Southern Africa",2019,42.749,"distant"
"AFG","CAN","Southern Asia","Northern America",2019,2.261,"distant"
"AFG","CAN","Southern Asia","Northern America",2020,2412.105,"distant"
"AFG","CAN","Southern Asia","Northern America",2021,48.649,"distant"
"AFG","CHE","Southern Asia","Western Europe",2020,449.944,"distant"
"AFG","CHE","Southern Asia","Western Europe",2021,355.6,"distant"
"AFG","CHL","Southern Asia","South America",2021,115.3,"distant"
"AFG","DEU","Southern Asia","Western Europe",2019,2338.892,"distant"
"AFG","DEU","Southern Asia","Western Europe",2020,3711.346,"distant"
"AFG","DEU","Southern Asia","Western Europe",2021,645.926,"distant"
"AFG","DOM","Southern Asia","Caribbean",2019,48401.82,"distant"
