ISO3,Subregion,net.value2021,medi21_op
AGO,Middle Africa,-8.273651207999999,1
BDI,Eastern Africa,-9.635090470000002,2
BEN,Western Africa,-2.2810599510000005,3
BFA,Western Africa,-28.859822434999998,3
BWA,Southern Africa,-124.012664486,1
CAF,Middle Africa,-0.263334352,3
CIV,Western Africa,21.068728184,3
CMR,Middle Africa,2.697302735000001,3
COD,Middle Africa,-9.973931242,1
COG,Middle Africa,-6.758764294000001,3
COM,Eastern Africa,-1.00696278,4
CPV,Western Africa,-0.196014466,3
DJI,Eastern Africa,-7.374420263,5
DZA,Northern Africa,-8.451612154,5
EGY,Northern Africa,211.043886318,5
ERI,Eastern Africa,-0.299355282,5
ETH,Eastern Africa,-17.048528895999997,5
GAB,Middle Africa,-0.901252768,3
GHA,Western Africa,1.087873309999999,3
GIN,Western Africa,-5.197866715,3
GMB,Western Africa,-0.5699432240000001,3
GNB,Western Africa,-2.3971609230000004,3
GNQ,Middle Africa,-2.8920810279999998,3
KEN,Eastern Africa,194.418926213,2
LBR,Western Africa,-0.181929735,2
LBY,Northern Africa,-72.577251105,5
LSO,Southern Africa,-32.22737166,1
MAR,Northern Africa,36.824007312999996,3
MDG,Eastern Africa,-18.073924019,4
MLI,Western Africa,-11.272864875,3
MOZ,Eastern Africa,-79.581011593,1
MRT,Western Africa,-13.997378326,5
MUS,Eastern Africa,17.758868666,4
MWI,Eastern Africa,-56.167688201,2
NAM,Southern Africa,-162.367285843,1
NER,Western Africa,-17.546116373000004,3
NGA,Western Africa,-11.571663582,3
RWA,Eastern Africa,-35.488692843,2
SDN,Northern Africa,-43.411955152999994,5
SEN,Western Africa,-7.318628948000001,3
SLE,Western Africa,-0.31954917499999996,3
SOM,Eastern Africa,-30.025282536,2
SSD,Eastern Africa,-7.676947832,2
STP,Middle Africa,-0.9057532229999999,5
SWZ,Southern Africa,-32.330867993999995,1
SYC,Eastern Africa,-3.900373498999999,1
TCD,Middle Africa,-3.821103898,3
TGO,Western Africa,-1.5395900840000003,3
TUN,Northern Africa,26.171670596000002,5
TZA,Eastern Africa,-80.24026057600001,2
UGA,Eastern Africa,-26.118174758999995,2
ZAF,Southern Africa,700.7760841129999,1
ZMB,Eastern Africa,-95.341204907,1
ZWE,Eastern Africa,-131.45095977199998,1
